NBHD_ID,NBRHD_NAME,TOTALPOP_NBRHD,PCTNBRHD_WITHACCESS,QUINTILE
26.0,Five Points,12710.0,66.23591972,4.0
29.0,Globeville,3687.0,10.45908184,1.0
6.0,Bear Valley,8889.0,36.13505747,2.0
69.0,Virginia Village,12844.0,33.71180264,2.0
78.0,Windsor,12656.0,20.38015857,2.0
39.0,Jefferson Park,2552.0,94.42431001,5.0
49.0,Northeast Park Hill,7821.0,6.75127798,1.0
2.0,Auraria,705.0,46.66666667,3.0
21.0,Cory - Merrill,3892.0,51.57669695,3.0
7.0,Belcaro,4172.0,58.48477092,4.0
70.0,Washington Park,6905.0,2.71629779,1.0
71.0,Washington Park West,6393.0,92.18858331,5.0
59.0,Speer,10954.0,77.19205763,4.0
13.0,Cherry Creek,5589.0,80.68425898,4.0
22.0,Country Club,3001.0,95.94496741,5.0
20.0,Congress Park,10235.0,62.16486024,4.0
14.0,City Park,2907.0,98.4375,5.0
44.0,Marston,11132.0,55.63858696,3.0
27.0,Fort Logan,8532.0,2.00991908,1.0
72.0,Washington Virginia Vale,13030.0,77.29632137,4.0
4.0,Barnum,6111.0,0.0,1.0
5.0,Barnum West,5376.0,0.0,1.0
74.0,West Colfax,9740.0,0.22093023,1.0
75.0,West Highland,8540.0,62.78792015,4.0
56.0,Sloan Lake,7238.0,54.92303934,3.0
8.0,Berkeley,8112.0,89.21489276,5.0
52.0,Regis,3934.0,4.44325482,1.0
11.0,Chaffee Park,3874.0,43.85330579,3.0
36.0,Highland,8429.0,43.08445532,3.0
1.0,Athmar Park,8898.0,9.26430518,1.0
73.0,Wellshire,3133.0,39.20171062,2.0
64.0,University,9375.0,40.39453037,2.0
53.0,Rosedale,2553.0,59.35529082,4.0
12.0,Cheesman Park,7971.0,62.75888038,4.0
37.0,Hilltop,8874.0,19.9184921,2.0
46.0,Montclair,5456.0,74.61928934,4.0
31.0,Hale,6936.0,88.33674364,5.0
48.0,North Park Hill,9382.0,17.4184261,1.0
57.0,South Park Hill,8590.0,40.77466632,2.0
66.0,University Park,7491.0,38.49860982,2.0
51.0,Platt Park,5393.0,77.26084684,4.0
50.0,Overland,2218.0,26.58415842,2.0
54.0,Ruby Hill,9820.0,55.01672241,3.0
40.0,Kennedy,4464.0,0.0,1.0
32.0,Hampden,17547.0,53.37183763,3.0
58.0,Southmoor Park,3826.0,6.33428688,1.0
33.0,Hampden South,14370.0,28.7323387,2.0
38.0,Indian Creek,3096.0,25.34246575,2.0
30.0,Goldsmith,5808.0,43.08638673,3.0
65.0,University Hills,5327.0,75.17440462,4.0
34.0,Harvey Park,11525.0,23.92580418,2.0
43.0,Mar Lee,12452.0,97.71234428,5.0
24.0,East Colfax,10191.0,2.92672506,1.0
9.0,Capitol Hill,14708.0,100.0,5.0
47.0,North Capitol Hill,5823.0,100.0,5.0
16.0,Civic Center,1577.0,99.61170848,5.0
10.0,CBD,3648.0,100.0,5.0
63.0,Union Station,4350.0,100.0,5.0
60.0,Central Park,13948.0,56.51601218,3.0
45.0,Montbello,30348.0,15.45556805,1.0
42.0,Lowry Field,7316.0,57.28270042,3.0
28.0,Gateway - Green Valley Ranch,29201.0,29.20686306,2.0
35.0,Harvey Park South,8393.0,16.4549483,1.0
19.0,College View - South Platte,6498.0,44.98171475,3.0
15.0,City Park West,4844.0,53.49326599,3.0
61.0,Sun Valley,1448.0,0.0,1.0
67.0,Valverde,3941.0,0.0,1.0
68.0,Villa Park,8758.0,0.0,1.0
25.0,Elyria Swansea,6401.0,0.0,1.0
3.0,Baker,4879.0,64.03762663,4.0
17.0,Clayton,4337.0,0.0,1.0
55.0,Skyland,3106.0,0.0,1.0
41.0,Lincoln Park,6119.0,91.54173193,5.0
77.0,Whittier,4831.0,13.79602201,1.0
18.0,Cole,4651.0,41.59827214,3.0
76.0,Westwood,15486.0,14.06015038,1.0
62.0,Sunnyside,9726.0,20.67095219,2.0
23.0,DIA,1165.0,0.0,1.0
